dsaid,accession,platform,deg_count,disease,diseaseid,tissue,data_source,library_strategy,organism,control_case_sample_count,definition
DSA08196,GSE55909,GPL16699,1000,Prostate Cancer,C0600139,Prostate,GEO,Microarray,Homo sapiens,2|2,DO:A prostate cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA08197,GSE55909,GPL16699,1000,Prostate Cancer,C0600139,Prostate,GEO,Microarray,Homo sapiens,2|3,DO:A prostate cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA08198,GSE55909,GPL16699,1000,Prostate Cancer,C0600139,Prostate,GEO,Microarray,Homo sapiens,2|3,DO:A prostate cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA08199,GSE56256,GPL13607,0,Inflammation,C0021368,Lung,GEO,Microarray,Homo sapiens,3|3,"MSH:A pathological process characterized by injury or destruction of tissues caused by a variety of cytologic and chemical reactions. It is usually manifested by typical signs of pain, heat, redness, swelling, and loss of function."
DSA08200,GSE207805,GPL24247,19,Oligoasthenoteratozoospermia,,Testis,GEO,RNA-Seq,Mus musculus,3|4,
DSA08201,GSE207805,GPL24247,1,Oligospermia,C0028960,Testis,GEO,RNA-Seq,Mus musculus,3|4,DO:A Sertoli cell-only syndrome that has_material_basis_in deletions in the Yq11 chromosomal region.
DSA08202,GSE56584,GPL6885,13,Inflammation,C0021368,,GEO,Microarray,Mus musculus,4|4,"MSH:A pathological process characterized by injury or destruction of tissues caused by a variety of cytologic and chemical reactions. It is usually manifested by typical signs of pain, heat, redness, swelling, and loss of function."
DSA08203,GSE56584,GPL6885,164,Inflammation,C0021368,,GEO,Microarray,Mus musculus,4|4,"MSH:A pathological process characterized by injury or destruction of tissues caused by a variety of cytologic and chemical reactions. It is usually manifested by typical signs of pain, heat, redness, swelling, and loss of function."
DSA08204,GSE56584,GPL6885,82,Inflammation,C0021368,,GEO,Microarray,Mus musculus,4|4,"MSH:A pathological process characterized by injury or destruction of tissues caused by a variety of cytologic and chemical reactions. It is usually manifested by typical signs of pain, heat, redness, swelling, and loss of function."
DSA08205,GSE56584,GPL6885,18,Inflammation,C0021368,,GEO,Microarray,Mus musculus,4|4,"MSH:A pathological process characterized by injury or destruction of tissues caused by a variety of cytologic and chemical reactions. It is usually manifested by typical signs of pain, heat, redness, swelling, and loss of function."
DSA08206,GSE56584,GPL6885,272,Inflammation,C0021368,,GEO,Microarray,Mus musculus,4|4,"MSH:A pathological process characterized by injury or destruction of tissues caused by a variety of cytologic and chemical reactions. It is usually manifested by typical signs of pain, heat, redness, swelling, and loss of function."
DSA08207,GSE56584,GPL6885,66,Inflammation,C0021368,,GEO,Microarray,Mus musculus,4|3,"MSH:A pathological process characterized by injury or destruction of tissues caused by a variety of cytologic and chemical reactions. It is usually manifested by typical signs of pain, heat, redness, swelling, and loss of function."
DSA08208,GSE56584,GPL6885,45,Inflammation,C0021368,,GEO,Microarray,Mus musculus,4|4,"MSH:A pathological process characterized by injury or destruction of tissues caused by a variety of cytologic and chemical reactions. It is usually manifested by typical signs of pain, heat, redness, swelling, and loss of function."
DSA08209,GSE57130,GPL10558,1000,Esophageal Cancer,C0152018,Esophagus,GEO,Microarray,Homo sapiens,3|3,DO:A esophageal cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA08210,GSE57130,GPL10558,1000,Esophageal Cancer,C0152018,Esophagus,GEO,Microarray,Homo sapiens,3|3,DO:A esophageal cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA08211,GSE57130,GPL10558,1000,Esophageal Cancer,C0152018,Esophagus,GEO,Microarray,Homo sapiens,3|3,DO:A esophageal cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA08212,GSE57130,GPL10558,1000,Esophageal Cancer,C0152018,Esophagus,GEO,Microarray,Homo sapiens,3|3,DO:A esophageal cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA08213,GSE57130,GPL10558,1000,Esophageal Cancer,C0152018,Esophagus,GEO,Microarray,Homo sapiens,3|3,DO:A esophageal cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA08214,GSE57130,GPL10558,1000,Esophageal Cancer,C0152018,Esophagus,GEO,Microarray,Homo sapiens,3|3,DO:A esophageal cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA08215,GSE57130,GPL10558,1000,Esophageal Cancer,C0152018,Esophagus,GEO,Microarray,Homo sapiens,3|3,DO:A esophageal cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA08216,GSE57130,GPL10558,1000,Esophageal Cancer,C0152018,Esophagus,GEO,Microarray,Homo sapiens,3|3,DO:A esophageal cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA08217,GSE57150,GPL18619,1000,B-Cell Lymphomas,C0079731,Spleen,GEO,Microarray,Mus musculus,10|4,DO:A non-Hodgkin lymphoma that has_material_basis_in B cells.
DSA08218,GSE57150,GPL18619,1000,B-Cell Lymphomas,C0079731,Spleen,GEO,Microarray,Mus musculus,10|4,DO:A non-Hodgkin lymphoma that has_material_basis_in B cells.
DSA08219,GSE57150,GPL18619,1000,B-Cell Lymphomas,C0079731,Spleen,GEO,Microarray,Mus musculus,10|4,DO:A non-Hodgkin lymphoma that has_material_basis_in B cells.
DSA08220,GSE175900,GPL24676,1000,COVID-19,D8888888,Lung,GEO,RNA-Seq,Homo sapiens,1|1,"A Coronavirus infection that is characterized by fever, cough and shortness of breath and that has_material_basis_in SARS-CoV-2."
DSA08221,GSE175900,GPL24676,1000,COVID-19,D8888888,Lung,GEO,RNA-Seq,Homo sapiens,1|1,"A Coronavirus infection that is characterized by fever, cough and shortness of breath and that has_material_basis_in SARS-CoV-2."
DSA08222,GSE57533,GPL13112,960,Colitis,C0009319,Colon,GEO,RNA-Seq,Mus musculus,2|3,DO:An inflammatory bowel disease that involves inflammation located_in colon.
DSA08223,GSE57533,GPL13112,1000,Intestinal Tumor,C0021841,Colon,GEO,RNA-Seq,Mus musculus,2|3,DO:A gastrointestinal system cancer that is located_in the intestine.
DSA08224,GSE57572,GPL13912,11,Cytomegalovirus Infection,C0010823,Lung,GEO,Microarray,Mus musculus,4|4,"EFO:Infection with CYTOMEGALOVIRUS, characterized by enlarged cells bearing intranuclear inclusions. Infection may be in almost any organ, but the salivary glands are the most common site in children, as are the lungs in adults."
DSA08225,GSE58014,GPL6246,2,Listeria Monocytogenes,,Spleen,GEO,Microarray,Mus musculus,3|3,
DSA08226,GSE58014,GPL6246,162,Listeria Monocytogenes,,Spleen,GEO,Microarray,Mus musculus,3|3,
DSA08227,GSE58484,GPL1261,66,Traumatic Brain Injury,,Neocortex,GEO,Microarray,Mus musculus,3|3,
DSA08228,GSE85496,GPL6887,0,Diabetes,C0011847,,GEO,Microarray,Mus musculus,2|2,"DO:A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin."
DSA08229,GSE59034,GPL11532,1000,Obesity,C0028754,White adipose tissue,GEO,Microarray,Homo sapiens,16|16,"DO:An overnutrition that is characterized by excess body fat, traditionally defined as an elevated ratio of weight to height (specifically 30 kilograms per meter squared), has_material_basis_in a multifactorial etiology related to excess nutrition intake, decreased caloric utilization, and genetic susceptibility, and possibly medications and certain disorders of metabolism, endocrine function, and mental illness."
DSA08230,GSE59070,GPL4134,0,Stress; Psychological,C0038443,Hippocampus,GEO,Microarray,Mus musculus,3|3,MSH:Stress wherein emotional factors predominate.
DSA08231,GSE59070,GPL4134,4,Stress; Psychological,C0038443,Hippocampus,GEO,Microarray,Mus musculus,3|3,MSH:Stress wherein emotional factors predominate.
DSA08232,GSE59070,GPL4134,0,Stress; Psychological,C0038443,Hippocampus,GEO,Microarray,Mus musculus,3|3,MSH:Stress wherein emotional factors predominate.
DSA08233,GSE59070,GPL4134,0,Stress; Psychological,C0038443,Hippocampus,GEO,Microarray,Mus musculus,3|3,MSH:Stress wherein emotional factors predominate.
DSA08234,GSE59128,GPL10558,0,Airway Injury,,Lung,GEO,Microarray,Homo sapiens,8|4,
DSA08235,GSE59128,GPL10558,0,Airway Injury,,Lung,GEO,Microarray,Homo sapiens,8|4,
DSA08236,GSE59128,GPL10558,167,Airway Injury,,Lung,GEO,Microarray,Homo sapiens,8|4,
DSA08237,GSE59128,GPL10558,1,Airway Injury,,Lung,GEO,Microarray,Homo sapiens,8|8,
DSA08238,GSE59128,GPL10558,0,Airway Injury,,Lung,GEO,Microarray,Homo sapiens,4|4,
DSA08239,GSE59128,GPL10558,1000,Airway Injury,,Lung,GEO,Microarray,Homo sapiens,8|4,
DSA08240,GSE59128,GPL10558,1000,Airway Injury,,Lung,GEO,Microarray,Homo sapiens,8|4,
DSA08241,GSE59128,GPL10558,0,Airway Injury,,Lung,GEO,Microarray,Homo sapiens,8|8,
DSA08242,GSE59128,GPL10558,0,Airway Injury,,Lung,GEO,Microarray,Homo sapiens,4|4,
DSA08243,GSE59362,GPL13912,0,Brain Damage,C0006109,Brain,GEO,Microarray,Mus musculus,2|2,MONDO:Chronic form of encephalitis.
DSA08244,GSE59362,GPL13912,711,Brain Damage,C0006109,Brain,GEO,Microarray,Mus musculus,2|1,MONDO:Chronic form of encephalitis.
DSA08245,GSE59362,GPL13912,1000,Brain Damage,C0006109,Brain,GEO,Microarray,Mus musculus,2|2,MONDO:Chronic form of encephalitis.
DSA08246,GSE59362,GPL13912,0,Brain Damage,C0006109,Brain,GEO,Microarray,Mus musculus,2|2,MONDO:Chronic form of encephalitis.
DSA08247,GSE59831,GPL13112,1000,Lung Cancer,C0684249,Lung,GEO,RNA-Seq,Mus musculus,2|3,DO:A respiratory system cancer that is located_in the lung.
DSA08248,GSE59831,GPL13112,817,Lung Cancer,C0684249,Lung,GEO,RNA-Seq,Mus musculus,2|2,DO:A respiratory system cancer that is located_in the lung.
DSA08249,GSE59831,GPL13112,1000,Lung Cancer,C0684249,Lung,GEO,RNA-Seq,Mus musculus,3|3,DO:A respiratory system cancer that is located_in the lung.
DSA08250,GSE59831,GPL13112,1000,Lung Cancer,C0684249,Lung,GEO,RNA-Seq,Mus musculus,3|3,DO:A respiratory system cancer that is located_in the lung.
DSA08251,GSE59831,GPL13112,1000,Lung Cancer,C0684249,Lung,GEO,RNA-Seq,Mus musculus,3|3,DO:A respiratory system cancer that is located_in the lung.
DSA08252,GSE59872,GPL6246,1000,Mammary Tumor,C1512981,Mammary gland,GEO,Microarray,Mus musculus,2|10,NCI:Production of a new growth or growths in the mammary gland.
DSA08253,GSE59872,GPL6246,64,Mammary Tumor,C1512981,Mammary gland,GEO,Microarray,Mus musculus,3|10,NCI:Production of a new growth or growths in the mammary gland.
DSA08254,GSE60349,GPL6887,305,Non-Alcoholic Steatohepatitis,C3241937,Liver,GEO,Microarray,Mus musculus,4|4,MONDO:Fatty replacement and damage to the hepatocytes not related to alcohol use. It may lead to cirrhosis and liver failure.
DSA08255,GSE61211,GPL5175,1000,Infection By Leishmania Braziliensis,C0023288,,GEO,Microarray,Homo sapiens,9|9,"DO:A leishmaniasis that involves a chronic inflammatory process involving the nasal, pharyngeal, and laryngeal mucosa, which can lead to extensive tissue destruction, caused by protozoan parasites belonging to the genus Leishmania. The infection is characterized by granulomatous lesion which can destroy upper respiratory tract mucosa."
DSA08256,GSE61306,GPL16570,151,Embryopathies,C0013949,,GEO,Microarray,Mus musculus,3|3,MSH:Pathophysiological conditions of the FETUS in the UTERUS. Some fetal diseases may be treated with FETAL THERAPIES.
DSA08257,GSE61306,GPL16570,296,Embryopathies,C0013949,,GEO,Microarray,Mus musculus,3|3,MSH:Pathophysiological conditions of the FETUS in the UTERUS. Some fetal diseases may be treated with FETAL THERAPIES.
DSA08258,GSE61306,GPL16570,0,Embryopathies,C0013949,,GEO,Microarray,Mus musculus,3|3,MSH:Pathophysiological conditions of the FETUS in the UTERUS. Some fetal diseases may be treated with FETAL THERAPIES.
DSA08259,GSE61460,GPL1261,1000,Colitis,C0009319,Spleen,GEO,Microarray,Mus musculus,3|3,DO:An inflammatory bowel disease that involves inflammation located_in colon.
DSA08260,GSE142615,GPL27951,1000,Cardiomyopathy,C0878544,Heart,GEO,Microarray,Mus musculus,4|4,DO:A heart disease and a myopathy that is characterized by deterioration of the function of the heart muscle.
DSA08261,GSE216128,GPL24247,1000,Non-Alcoholic Steatohepatitis,C3241937,Liver,GEO,RNA-Seq,Mus musculus,1|1,MONDO:Fatty replacement and damage to the hepatocytes not related to alcohol use. It may lead to cirrhosis and liver failure.
DSA08262,GSE216128,GPL24247,1000,Non-Alcoholic Steatohepatitis,C3241937,Liver,GEO,RNA-Seq,Mus musculus,1|1,MONDO:Fatty replacement and damage to the hepatocytes not related to alcohol use. It may lead to cirrhosis and liver failure.
DSA08263,GSE62157,GPL17791,436,Immune Dysfunction,C0021053,Brown adipose tissue,GEO,Microarray,Mus musculus,3|3,DO:A disease of anatomical entity that is located_in the immune system.
DSA08264,GSE62165,GPL13667,1000,Pancreatic Ductal Adenocarcinoma,C1335302,Pancreas,GEO,Microarray,Homo sapiens,13|18,DO:A pancreatic adenocarcinoma that derives_from pancreatic duct cells.
DSA08265,GSE62165,GPL13667,1000,Pancreatic Ductal Adenocarcinoma,C1335302,Pancreas,GEO,Microarray,Homo sapiens,13|38,DO:A pancreatic adenocarcinoma that derives_from pancreatic duct cells.
DSA08266,GSE62165,GPL13667,1000,Pancreatic Ductal Adenocarcinoma,C1335302,Pancreas,GEO,Microarray,Homo sapiens,13|62,DO:A pancreatic adenocarcinoma that derives_from pancreatic duct cells.
DSA08267,GSE62817,GPL1261,25,Lung Cancer,C0684249,Lung,GEO,Microarray,Mus musculus,5|4,DO:A respiratory system cancer that is located_in the lung.
DSA08268,GSE62817,GPL1261,2,Lung Cancer,C0684249,Lung,GEO,Microarray,Mus musculus,5|5,DO:A respiratory system cancer that is located_in the lung.
DSA08269,GSE192392,GPL24247,151,Leishmaniasis,C0023281,,GEO,RNA-Seq,Mus musculus,5|4,"DO:A parasitic protozoa infectious disease that involves infection caused by protozoan parasite of the genus Leishmania, which is transmitted by the bite of sand fly (subfamily Phlebotominae)."
DSA08270,GSE165142,GPL24247,1000,Ebola Virus Disease,C0282687,,GEO,RNA-Seq,Mus musculus,8|12,"DO:A viral infectious disease that is a hemorrhagic fever, has_material_basis_in Zaire ebolavirus, has_material_basis_in Sudan ebolavirus, has_material_basis_in Cote d'Ivoire ebolavirus, or has_material_basis_in Bundibugyo ebolavirus, which are transmitted_by contact with the body fluids of an infected animal or person, transmitted by contaminated fomites, or transmitted by infected medical equipment. The infection has_symptom fever, has_symptom headache, has_symptom joint pain, has_symptom muscle aches, has_symptom sore throat, has_symptom weakness, has_symptom diarrhea, has_symptom vomiting, has_symptom stomach pain, has_symptom rash, has_symptom red eyes, has_symptom hiccups, and has_symptom internal and external bleeding."
DSA08271,GSE165142,GPL24247,1000,Ebola Virus Disease,C0282687,,GEO,RNA-Seq,Mus musculus,8|14,"DO:A viral infectious disease that is a hemorrhagic fever, has_material_basis_in Zaire ebolavirus, has_material_basis_in Sudan ebolavirus, has_material_basis_in Cote d'Ivoire ebolavirus, or has_material_basis_in Bundibugyo ebolavirus, which are transmitted_by contact with the body fluids of an infected animal or person, transmitted by contaminated fomites, or transmitted by infected medical equipment. The infection has_symptom fever, has_symptom headache, has_symptom joint pain, has_symptom muscle aches, has_symptom sore throat, has_symptom weakness, has_symptom diarrhea, has_symptom vomiting, has_symptom stomach pain, has_symptom rash, has_symptom red eyes, has_symptom hiccups, and has_symptom internal and external bleeding."
DSA08272,GSE184383,GPL24676,29,Asthma,C0004096,,GEO,RNA-Seq,Homo sapiens,30|7,"DO:A bronchial disease that is characterized by chronic inflammation and narrowing of the airways, which is caused by a combination of environmental and genetic factors. The disease has_symptom recurring periods of wheezing (a whistling sound while breathing), has_symptom chest tightness, has_symptom shortness of breath, has_symptom mucus production and has_symptom coughing."
DSA08273,GSE184383,GPL24676,11,Lower Respiratory Tract Infections,C0149725,,GEO,RNA-Seq,Homo sapiens,30|13,HPO:An increased susceptibility to lower respiratory tract infections as manifested by a history of recurrent lower respiratory tract infections.
DSA08274,GSE184383,GPL24676,0,Asthma;Respiratory Tract Infections,,,GEO,RNA-Seq,Homo sapiens,30|9,
DSA08275,GSE208395,GPL17021,1000,Colitis,C0009319,Colon,GEO,RNA-Seq,Mus musculus,3|3,DO:An inflammatory bowel disease that involves inflammation located_in colon.
DSA08276,GSE208395,GPL17021,1000,Colitis,C0009319,Colon,GEO,RNA-Seq,Mus musculus,3|3,DO:An inflammatory bowel disease that involves inflammation located_in colon.
DSA08277,GSE208395,GPL17021,1000,Colitis,C0009319,Colon,GEO,RNA-Seq,Mus musculus,3|3,DO:An inflammatory bowel disease that involves inflammation located_in colon.
DSA08278,GSE208395,GPL17021,1000,Colitis,C0009319,Colon,GEO,RNA-Seq,Mus musculus,3|3,DO:An inflammatory bowel disease that involves inflammation located_in colon.
DSA08279,GSE208395,GPL17021,1000,Colitis,C0009319,Colon,GEO,RNA-Seq,Mus musculus,3|3,DO:An inflammatory bowel disease that involves inflammation located_in colon.
DSA08280,GSE208395,GPL17021,1000,Colitis,C0009319,Colon,GEO,RNA-Seq,Mus musculus,3|3,DO:An inflammatory bowel disease that involves inflammation located_in colon.
DSA08281,GSE208395,GPL17021,1000,Colitis,C0009319,Colon,GEO,RNA-Seq,Mus musculus,3|3,DO:An inflammatory bowel disease that involves inflammation located_in colon.
DSA08282,GSE208395,GPL17021,1000,Colitis,C0009319,Colon,GEO,RNA-Seq,Mus musculus,3|4,DO:An inflammatory bowel disease that involves inflammation located_in colon.
DSA08283,GSE205540,GPL24247,1000,Fibrosis; Liver,C0239946,Liver,GEO,RNA-Seq,Mus musculus,3|3,HPO:The presence of excessive fibrous connective tissue in the liver. Fibrosis is a reparative or reactive process.
DSA08284,GSE63169,GPL19146,0,Diabetes;Obesity,,,GEO,Microarray,Mus musculus,1|2,
DSA08285,GSE184052,GPL21163,0,Neuropathic Pain,C3714625,Spinal cord,GEO,Microarray,Mus musculus,2|2,NCI:Chronic pain caused by damage to nerve fibers.  It is usually associated with tissue injury.
DSA08286,GSE203554,GPL17021,22,Alzheimer's Disease,C0002395,Hippocampal dentate gyrus,GEO,RNA-Seq,Mus musculus,5|5,"DO:An Alzheimer's disease that has_material_basis_in mutation heterozygous mutation in the APP gene, which encodes the amyloid precursor protein, on chromosome 21q21."
DSA08287,GSE160292,GPL21103,1000,Non-Alcoholic Fatty Liver Disease,C0400966,Liver,GEO,RNA-Seq,Mus musculus,2|3,DO:A lipid storage disease characterized by the accumulation of large vacuoles of triglyceride fat in liver cells via the process of steatosis.
DSA08288,GSE102812,GPL16791,1000,Facioscapulohumeral Muscular Dystrophy,C0238288,,GEO,RNA-Seq,Homo sapiens,3|3,DO:A facioscapulohumeral muscular dystrophy that has_material_basis_in contraction of the D4Z4 macrosatellite repeat in the subtelomeric region of chromosome 4q35.
DSA08289,GSE100202,GPL6246,164,Epileptic Syndromes,C4505072,Brain,GEO,Microarray,Mus musculus,3|3,"MSH:EPILEPTIC SEIZURES that are of similar type and age of onset and have other similar features (e.g., clinical course, EEG findings, genetic association and neuropathology)."
DSA08290,GSE100202,GPL6246,1000,Epileptic Syndromes,C4505072,Brain,GEO,Microarray,Mus musculus,3|3,"MSH:EPILEPTIC SEIZURES that are of similar type and age of onset and have other similar features (e.g., clinical course, EEG findings, genetic association and neuropathology)."
DSA08291,GSE92506,GPL15433,4,Atherosclerosis,C0004153,,GEO,RNA-Seq,Homo sapiens,2|2,DO:An artery disease that is characterized by a thickening and hardening of arterial walls in the arteries.
DSA08292,GSE92506,GPL15433,4,Atherosclerosis,C0004153,,GEO,RNA-Seq,Homo sapiens,2|2,DO:An artery disease that is characterized by a thickening and hardening of arterial walls in the arteries.
DSA08293,GSE92506,GPL15433,17,Atherosclerosis,C0004153,,GEO,RNA-Seq,Homo sapiens,2|2,DO:An artery disease that is characterized by a thickening and hardening of arterial walls in the arteries.
DSA08294,GSE92506,GPL15433,8,Atherosclerosis,C0004153,,GEO,RNA-Seq,Homo sapiens,2|2,DO:An artery disease that is characterized by a thickening and hardening of arterial walls in the arteries.
DSA08295,GSE92506,GPL15433,31,Atherosclerosis,C0004153,,GEO,RNA-Seq,Homo sapiens,2|2,DO:An artery disease that is characterized by a thickening and hardening of arterial walls in the arteries.
DSA08296,GSE92506,GPL15433,29,Atherosclerosis,C0004153,,GEO,RNA-Seq,Homo sapiens,2|2,DO:An artery disease that is characterized by a thickening and hardening of arterial walls in the arteries.
DSA08297,GSE92506,GPL15433,88,Atherosclerosis,C0004153,,GEO,RNA-Seq,Homo sapiens,2|2,DO:An artery disease that is characterized by a thickening and hardening of arterial walls in the arteries.
DSA08298,GSE92506,GPL15433,39,Atherosclerosis,C0004153,,GEO,RNA-Seq,Homo sapiens,2|2,DO:An artery disease that is characterized by a thickening and hardening of arterial walls in the arteries.
DSA08299,GSE97344,GPL13112,97,Hepatic Fibrosis,C0239946,,GEO,RNA-Seq,Mus musculus,3|2,HPO:The presence of excessive fibrous connective tissue in the liver. Fibrosis is a reparative or reactive process.
DSA08300,GSE96047,GPL1261,1000,Amyotrophic Lateral Sclerosis,C0002736,,GEO,Microarray,Mus musculus,3|3,"DO:A motor neuron disease that is characterized by muscle spasticity, rapidly progressive weakness due to muscle atrophy, difficulty in speaking, swallowing, and breathing."
DSA08301,GSE229279,GPL24676,1000,Cutaneous Lichenoid Immune-Related Adverse Events,,Skin,GEO,RNA-Seq,Homo sapiens,1|2,
DSA08302,GSE229279,GPL24676,1000,Cutaneous Lichenoid Immune-Related Adverse Events,,Skin,GEO,RNA-Seq,Homo sapiens,1|2,
DSA08303,GSE174074,GPL21626,1000,Drug Induced Liver Injury,C0860207,Liver,GEO,RNA-Seq,Mus musculus,4|4,"MSH:INFLAMMATION of the LIVER due to hepatocellular toxicity, caused by drug metabolites and chemicals from the environment."
DSA08304,GSE174074,GPL21626,339,Liver Cancer,C2239176,Liver,GEO,RNA-Seq,Mus musculus,4|3,DO:A hepatobiliary system cancer that is located_in the liver.
DSA08305,GSE174074,GPL21626,1000,Drug Induced Liver Injury;Liver Cancer,,Liver,GEO,RNA-Seq,Mus musculus,4|4,
DSA08306,GSE174074,GPL21626,1000,Liver Cancer,C2239176,Liver,GEO,RNA-Seq,Mus musculus,4|1,DO:A hepatobiliary system cancer that is located_in the liver.
DSA08307,GSE190023,GPL24676,10,Adhesive Capsulitis,C0158300,Synovitis and thickening joint capsule,GEO,RNA-Seq,Homo sapiens,3|4,MSH:Inflammation or irritation of a JOINT CAPSULE.
DSA08308,GSE190023,GPL24676,38,Adhesive Capsulitis,C0158300,Synovitis and thickening joint capsule,GEO,RNA-Seq,Homo sapiens,3|4,MSH:Inflammation or irritation of a JOINT CAPSULE.
DSA08309,GSE205450,GPL24676,1000,Parkinson's Disease,C0030567,Brain,GEO,RNA-Seq,Homo sapiens,38|32,DO:An early-onset Parkinson's diseas that has_material_basis_in homozygous mutation in the DNAJC6 gene on chromosome 1p31.
DSA08310,GSE205450,GPL24676,1000,Parkinson's Disease,C0030567,Brain,GEO,RNA-Seq,Homo sapiens,39|33,DO:An early-onset Parkinson's diseas that has_material_basis_in homozygous mutation in the DNAJC6 gene on chromosome 1p31.
DSA08311,GSE151325,GPL21273,1000,Diabetic Kidney Disease,C0011881,Renal cortex,GEO,RNA-Seq,Mus musculus,4|2,"EFO:Progressive kidney disorder caused by vascular damage to the glomerular capillaries, in patients with diabetes mellitus. It is usually manifested with nephritic syndrome and glomerulosclerosis."
DSA08312,GSE222530,GPL24247,1000,Arthritis,C0003864,Whole blood,GEO,RNA-Seq,Mus musculus,8|15,DO:A bone disease that is located_in the joint.
DSA08313,GSE222530,GPL24247,1000,Arthritis,C0003864,Whole blood,GEO,RNA-Seq,Mus musculus,8|15,DO:A bone disease that is located_in the joint.
DSA08314,GSE221521,GPL24676,1000,Diabetic Retinopathy,C0011884,Blood,GEO,RNA-Seq,Homo sapiens,47|69,"EFO:Disease of the RETINA as a complication of DIABETES MELLITUS. It is characterized by the progressive microvascular complications, such as ANEURYSM, interretinal EDEMA, and intraocular PATHOLOGIC NEOVASCULARIZATION."
DSA08315,GSE221521,GPL24676,18,Diabetic Retinopathy,C0011884,Blood,GEO,RNA-Seq,Homo sapiens,47|73,"EFO:Disease of the RETINA as a complication of DIABETES MELLITUS. It is characterized by the progressive microvascular complications, such as ANEURYSM, interretinal EDEMA, and intraocular PATHOLOGIC NEOVASCULARIZATION."
DSA08316,GSE222019,GPL24247,1000,"Atopic Dermatitis, Chronic",C0011615,Skin,GEO,RNA-Seq,Mus musculus,2|3,DO:An allergic contact dermatitis that is a chronically relapsing inflammatory allergic response located_in the skin that causes itching and flaking.
DSA08317,GSE222019,GPL24247,204,"Atopic Dermatitis, Chronic",C0011615,Lung,GEO,RNA-Seq,Mus musculus,2|3,DO:An allergic contact dermatitis that is a chronically relapsing inflammatory allergic response located_in the skin that causes itching and flaking.
DSA08318,GSE186198,GPL11154,0,Systemic Sclerosis,C0036421,,GEO,RNA-Seq,Homo sapiens,11|12,"DO:A scleroderma that is characterized by fibrosis (or hardening) of the skin and major organs, as well as vascular alterations, and autoantibodies."
DSA08319,GSE186198,GPL11154,2,Systemic Sclerosis,C0036421,,GEO,RNA-Seq,Homo sapiens,11|11,"DO:A scleroderma that is characterized by fibrosis (or hardening) of the skin and major organs, as well as vascular alterations, and autoantibodies."
DSA08320,GSE186198,GPL11154,0,Limited Systemic Sclerosis,C0748540,,GEO,RNA-Seq,Homo sapiens,11|11,"MONDO:Limited cutaneous systemic sclerosis (lcSSc) is a subtype of systemic sclerosis (SSc) characterized by the association of Raynaud's phenomenon with skin fibrosis limited to the hands, face, feet and forearms."
DSA08321,GSE186198,GPL11154,46,Diffuse Sclerosis,C0036421,,GEO,RNA-Seq,Homo sapiens,11|11,"DO:A scleroderma that is characterized by fibrosis (or hardening) of the skin and major organs, as well as vascular alterations, and autoantibodies."
DSA08322,GSE209762,GPL24247,1000,Non-Alcoholic Fatty Liver Disease,C0400966,Liver,GEO,RNA-Seq,Mus musculus,6|9,DO:A lipid storage disease characterized by the accumulation of large vacuoles of triglyceride fat in liver cells via the process of steatosis.
DSA08323,GSE190125,GPL24676,1000,Down Syndrome,C0013080,Whole blood,GEO,RNA-Seq,Homo sapiens,92|281,DO:A chromosomal disease that is characterized by flat-looking facial features and weak muscle tone (hypotonia) in infancy and is caused by trisomy of all or a critical portion of chromosome 21 and is associated with intellectual disability.
DSA08324,GSE147256,GPL21103,1000,Acute Kidney Injury,C2609414,Kidney,GEO,RNA-Seq,Mus musculus,3|3,"HPO:Sudden loss of renal function, as manifested by decreased urine production, and a rise in serum creatinine or blood urea nitrogen concentration (azotemia)."
DSA08325,GSE147834,GPL24247,1000,Cardiomyopathy,C0878544,Heart,GEO,RNA-Seq,Mus musculus,1|1,DO:A heart disease and a myopathy that is characterized by deterioration of the function of the heart muscle.
DSA08326,GSE147834,GPL24247,1000,Cardiomyopathy,C0878544,Heart,GEO,RNA-Seq,Mus musculus,1|1,DO:A heart disease and a myopathy that is characterized by deterioration of the function of the heart muscle.
DSA08327,GSE147834,GPL24247,1000,Cardiomyopathy,C0878544,Heart,GEO,RNA-Seq,Mus musculus,1|1,DO:A heart disease and a myopathy that is characterized by deterioration of the function of the heart muscle.
DSA08328,GSE147834,GPL24247,1000,Cardiomyopathy,C0878544,Heart,GEO,RNA-Seq,Mus musculus,1|1,DO:A heart disease and a myopathy that is characterized by deterioration of the function of the heart muscle.
DSA08329,GSE148287,GPL24676,1000,Pulp Inflammation,,,GEO,RNA-Seq,Homo sapiens,6|2,
